_id,AnnoA,AteneoCOD,AteneoNOME,ClasseNUMERO,ClasseNOME,CorsoNOME,SedeC,SedeP,CorsoLingua
1,2020/2021,101,Torino,L-01,Beni culturali,Beni Culturali,TORINO,TORINO,""
2,2020/2021,101,Torino,L-02,Biotecnologie,Biotecnologie,TORINO,TORINO,"italiano, inglese"
3,2020/2021,101,Torino,L-03,"Discipline delle arti figurative, della musica, dello spettacolo e della moda","Dams (Discipline delle Arti, della Musica e dello Spettacolo)",TORINO,TORINO,""
4,2020/2021,101,Torino,L-05,Filosofia,Filosofia,TORINO,TORINO,""
5,2020/2021,101,Torino,L-10,Lettere,Lettere,TORINO,TORINO,""
6,2020/2021,101,Torino,L-10,Lettere,Culture e Letterature del Mondo Moderno,TORINO,TORINO,""
7,2020/2021,101,Torino,L-11,Lingue e culture moderne,Lingue e Letterature Moderne,TORINO,TORINO,""
8,2020/2021,101,Torino,L-12,Mediazione linguistica,Lingue e Culture dell'Asia e dell'Africa,TORINO,TORINO,""
9,2020/2021,101,Torino,L-12,Mediazione linguistica,Scienze della Mediazione Linguistica,TORINO,TORINO,""
10,2020/2021,101,Torino,L-13,Scienze biologiche,Scienze Biologiche,TORINO,TORINO,""
11,2020/2021,101,Torino,L-14,Scienze dei servizi giuridici,Diritto Agroalimentare,TORINO,TORINO,""
12,2020/2021,101,Torino,L-14,Scienze dei servizi giuridici,Diritto per le Imprese e le Istituzioni,TORINO,TORINO,""
13,2020/2021,101,Torino,L-14,Scienze dei servizi giuridici,Global Law And Transnational Legal Studies,TORINO,TORINO,inglese
14,2020/2021,101,Torino,L-15,Scienze del turismo,Lingue e Culture per il Turismo,TORINO,TORINO,""
15,2020/2021,101,Torino,L-16,Scienze dell'amministrazione e dell'organizzazione,Consulenza del Lavoro e Gestione delle Risorse Umane,TORINO,TORINO,""
16,2020/2021,101,Torino,L-16,Scienze dell'amministrazione e dell'organizzazione,Scienze dell'Amministrazione,TORINO,TORINO,""
17,2020/2021,101,Torino,L-18,Scienze dell'economia e della gestione aziendale,Management dell'Informazione e della Comunicazione Aziendale,TORINO,TORINO,""
18,2020/2021,101,Torino,L-18,Scienze dell'economia e della gestione aziendale,Economia Aziendale,CUNEO,CUNEO,""
